Epoch,Train Accuracy,Validation Accuracy
1,0.63525,0.84455
2,0.71755,0.8773500000000001
3,0.7478,0.88505
4,0.7635000000000001,0.8859
5,0.77785,0.9077000000000001
6,0.7839,0.9016500000000001
7,0.7931,0.9068
8,0.84225,0.9378000000000001
9,0.85535,0.9398500000000001
10,0.8643500000000001,0.9448000000000001
11,0.8721500000000001,0.9448000000000001
12,0.8757,0.94535
13,0.88115,0.9443
14,0.88195,0.94835
15,0.8857,0.9497000000000001
16,0.89325,0.94935
17,0.8883500000000001,0.9499500000000001
18,0.8895500000000001,0.95035
19,0.8942,0.95055
20,0.8905500000000001,0.94935
