Epoch,Train Accuracy,Validation Accuracy
1,0.6415500000000001,0.8513000000000001
2,0.71975,0.862
3,0.74765,0.88965
4,0.7675500000000001,0.8824500000000001
5,0.7754000000000001,0.8953000000000001
6,0.7917500000000001,0.90195
7,0.79495,0.9061
8,0.8361500000000001,0.9365
9,0.85675,0.9381
10,0.86465,0.94315
11,0.8682500000000001,0.9444
12,0.8748,0.9450500000000001
13,0.8815500000000001,0.9455
14,0.88165,0.9482
15,0.88575,0.9482
16,0.889,0.9490500000000001
17,0.88995,0.94855
18,0.8927,0.9487000000000001
19,0.8925000000000001,0.94915
20,0.8869,0.9499500000000001
