Epoch,Train Accuracy,Validation Accuracy
1,0.61615,0.7873
2,0.65485,0.762
3,0.6488,0.7649
4,0.6468,0.7222500000000001
5,0.651,0.7665500000000001
6,0.6558,0.77335
7,0.6565500000000001,0.7651
8,0.7267,0.8575
9,0.7483500000000001,0.86185
10,0.75105,0.8701500000000001
11,0.7579,0.8722500000000001
12,0.7618,0.8716
13,0.7676000000000001,0.8744500000000001
14,0.769,0.8771500000000001
15,0.77615,0.8827
16,0.78195,0.8823500000000001
17,0.7816000000000001,0.88185
18,0.7804500000000001,0.8848
19,0.7867500000000001,0.8843500000000001
20,0.784,0.88465
