Epoch,Train Accuracy,Validation Accuracy
1,0.49325,0.4908
2,0.44725000000000004,0.4904
3,0.45265,0.35815
4,0.4605,0.47150000000000003
5,0.46330000000000005,0.3967
6,0.4675,0.53705
7,0.46830000000000005,0.5338
8,0.5162,0.6369
9,0.54035,0.6423
10,0.54455,0.6375000000000001
11,0.54855,0.6454500000000001
12,0.5513,0.6456500000000001
13,0.55355,0.667
14,0.55555,0.6636000000000001
15,0.56845,0.67515
16,0.56765,0.672
17,0.57135,0.6717500000000001
18,0.57455,0.67725
19,0.5706,0.67845
20,0.5680000000000001,0.6763
