Epoch,Train Accuracy,Validation Accuracy
1,0.71245,0.78205
2,0.6933,0.6349
3,0.5843,0.46645000000000003
4,0.50215,0.3402
5,0.47195000000000004,0.42900000000000005
6,0.44765000000000005,0.38280000000000003
7,0.4227,0.46825
8,0.5145000000000001,0.6246
9,0.5351,0.64915
10,0.55035,0.6504500000000001
11,0.55315,0.6386000000000001
12,0.5592,0.6354000000000001
13,0.56615,0.6689
14,0.5651,0.6567000000000001
15,0.5971000000000001,0.7033
16,0.6079,0.7048500000000001
17,0.6151,0.7094
18,0.6173500000000001,0.7114
19,0.61905,0.71085
20,0.6221,0.71165
21,0.6223500000000001,0.71565
22,0.62665,0.7186
23,0.63,0.71655
24,0.63405,0.71755
25,0.6324500000000001,0.71945
26,0.6373500000000001,0.7190000000000001
27,0.63365,0.7192000000000001
28,0.6318,0.71965
29,0.6316,0.7196
30,0.6304000000000001,0.71935
31,0.6355500000000001,0.7189500000000001
32,0.6334500000000001,0.7181000000000001
33,0.63405,0.71935
34,0.63165,0.71865
35,0.63275,0.72145
36,0.6323000000000001,0.71985
37,0.6327,0.7210000000000001
38,0.62805,0.7191500000000001
39,0.63865,0.7204
40,0.63615,0.7192500000000001
