Epoch,Train Accuracy,Validation Accuracy
1,0.71585,0.7834500000000001
2,0.6904,0.42925
3,0.5850500000000001,0.5345
4,0.5065500000000001,0.42625
5,0.47895000000000004,0.47795000000000004
6,0.44580000000000003,0.44880000000000003
7,0.43395,0.49825
8,0.5204,0.6424000000000001
9,0.5486,0.6365000000000001
10,0.55755,0.65195
11,0.56125,0.6618
12,0.5650000000000001,0.6584
13,0.56605,0.66045
14,0.57025,0.6696500000000001
15,0.6064,0.7058500000000001
16,0.6153500000000001,0.71435
17,0.61865,0.71535
18,0.6224500000000001,0.7151500000000001
19,0.62085,0.7208
20,0.6253500000000001,0.71965
21,0.62915,0.7226
22,0.6339,0.7252000000000001
23,0.637,0.72855
24,0.6395000000000001,0.7272500000000001
25,0.6392,0.7272500000000001
26,0.63915,0.7262500000000001
27,0.6374000000000001,0.7276
28,0.63805,0.72555
29,0.63815,0.72665
30,0.6384500000000001,0.7303000000000001
31,0.63785,0.7262000000000001
32,0.63685,0.72675
33,0.6363,0.7299
34,0.6371,0.72845
35,0.63775,0.72855
36,0.6415500000000001,0.7285
37,0.641,0.729
38,0.6469,0.7293000000000001
39,0.6352,0.72865
40,0.637,0.7291000000000001
