Epoch,Train Accuracy,Validation Accuracy
1,0.78315,0.7785500000000001
2,0.7683500000000001,0.6341
3,0.6688500000000001,0.5156000000000001
4,0.5952000000000001,0.53195
5,0.5725,0.5082
6,0.5496,0.45975000000000005
7,0.5406000000000001,0.5506
8,0.6466000000000001,0.68645
9,0.6686000000000001,0.70175
10,0.6791,0.7060500000000001
11,0.68265,0.7070500000000001
12,0.68945,0.69835
13,0.6882,0.7061000000000001
14,0.6877500000000001,0.70565
15,0.72185,0.7526
16,0.734,0.7532500000000001
17,0.73875,0.7598
18,0.74185,0.7559
19,0.7426,0.75965
20,0.74195,0.76095
