Epoch,Train Accuracy,Validation Accuracy
1,0.7845000000000001,0.7224
2,0.76675,0.6074
3,0.6735,0.52115
4,0.6041000000000001,0.42825
5,0.5784,0.45120000000000005
6,0.5584,0.463
7,0.54455,0.43445
8,0.6473,0.6975
9,0.6745,0.7077
10,0.6854,0.70935
11,0.6875,0.7146
12,0.6898500000000001,0.71265
13,0.6919000000000001,0.7025
14,0.6910000000000001,0.7098
15,0.73,0.7581
16,0.73905,0.7595000000000001
17,0.74205,0.7606
18,0.74245,0.7625500000000001
19,0.7462500000000001,0.7644000000000001
20,0.74675,0.76105
