Epoch,Train Accuracy,Validation Accuracy
1,0.7747,0.76115
2,0.7616,0.6003000000000001
3,0.6677500000000001,0.48450000000000004
4,0.59475,0.5689000000000001
5,0.5750500000000001,0.38275000000000003
6,0.5481,0.49620000000000003
7,0.536,0.49525
8,0.6388,0.6859500000000001
9,0.66245,0.6971
10,0.6728000000000001,0.69835
11,0.67615,0.68505
12,0.682,0.69945
13,0.6845,0.6971
14,0.6877500000000001,0.6980000000000001
15,0.7209,0.7494000000000001
16,0.7332500000000001,0.7542500000000001
17,0.73375,0.7548
18,0.7392500000000001,0.7536
19,0.7421500000000001,0.7548
20,0.7439,0.75695
