Epoch,Train Accuracy,Validation Accuracy
1,0.77585,0.7115
2,0.7657,0.6103500000000001
3,0.66955,0.3683
4,0.60075,0.49495
5,0.57345,0.5296000000000001
6,0.5577500000000001,0.5117
7,0.5433,0.46865
8,0.64915,0.69545
9,0.6754,0.7087
10,0.68665,0.6990000000000001
11,0.6879500000000001,0.7177
12,0.6909000000000001,0.7202500000000001
13,0.6927,0.7117
14,0.6950000000000001,0.70665
15,0.7323000000000001,0.7542500000000001
16,0.7406,0.7542500000000001
17,0.7434000000000001,0.7554500000000001
18,0.74795,0.7591
19,0.748,0.75805
20,0.7478,0.7581
