Epoch,Train Accuracy,Validation Accuracy
1,0.6436000000000001,0.6468
2,0.5861000000000001,0.5741
3,0.4829,0.44875000000000004
4,0.41925,0.40205
5,0.38095,0.40280000000000005
6,0.36445,0.44265000000000004
7,0.34435,0.35615
8,0.40385000000000004,0.54205
9,0.43545,0.54305
10,0.4379,0.54325
11,0.44045,0.5326500000000001
12,0.44525000000000003,0.5234
13,0.45235000000000003,0.55305
14,0.45345,0.545
15,0.48035,0.6002500000000001
16,0.49215000000000003,0.6
17,0.4922,0.6061000000000001
18,0.4917,0.6099
19,0.49465000000000003,0.6066
20,0.4932,0.6084
