Epoch,Train Accuracy,Validation Accuracy
1,0.61895,0.7492000000000001
2,0.5947,0.46590000000000004
3,0.49410000000000004,0.5056
4,0.42565000000000003,0.4383
5,0.3845,0.41955000000000003
6,0.3652,0.3743
7,0.34635,0.46295000000000003
8,0.40995000000000004,0.5345500000000001
9,0.43485,0.5315500000000001
10,0.44235,0.55045
11,0.44005,0.5557500000000001
12,0.4511,0.54535
13,0.45255,0.5539000000000001
14,0.4549,0.55545
15,0.48150000000000004,0.60485
16,0.4899,0.6068
17,0.49200000000000005,0.61005
18,0.49465000000000003,0.6094
19,0.49310000000000004,0.61365
20,0.5014500000000001,0.61695
