Epoch,Train Loss,Validation Loss
1,1.0996132017612457,0.7540182993888855
2,1.1550089557647705,1.4844711393356322
3,1.4122272443771362,1.4898174333572387
4,1.6048690942764283,1.661380072784424
5,1.7151441068649291,1.6096615230560303
6,1.760462530708313,1.7305915113449097
7,1.785235426712036,1.6361371734619141
8,1.6617179904937744,1.3685410051345825
9,1.5969098524093628,1.3609394395828247
10,1.5710082242965697,1.325322159576416
11,1.5652991722106933,1.30585595331192
12,1.5484712505340577,1.3148184597969055
13,1.5418950931549071,1.3013132672309875
14,1.5364160522460937,1.2632085802078248
15,1.4776735748291017,1.1613527628898621
16,1.4602920864105224,1.1529752920150758
17,1.4513291805267334,1.1537352942466736
18,1.444806448173523,1.1433005707740784
19,1.441609510421753,1.1273713110923766
20,1.4342229684829713,1.1245549295425414
