Epoch,Train Accuracy,Validation Accuracy
1,0.784,0.79205
2,0.7744500000000001,0.6033000000000001
3,0.6737000000000001,0.5599500000000001
4,0.6062000000000001,0.47040000000000004
5,0.58265,0.42005000000000003
6,0.56725,0.5593
7,0.5513,0.49165000000000003
8,0.6555500000000001,0.6939500000000001
9,0.67615,0.7052
10,0.6864,0.70675
11,0.69325,0.7014
12,0.69775,0.7052
13,0.6992,0.7004
14,0.6986,0.71555
15,0.73355,0.7609
16,0.7497,0.7621
17,0.7518,0.7665500000000001
18,0.7531,0.7638
19,0.7539,0.7702
20,0.7573500000000001,0.77005
