Epoch,Train Accuracy,Validation Accuracy
1,0.7903,0.68525
2,0.76865,0.62195
3,0.6771,0.43510000000000004
4,0.6102000000000001,0.47300000000000003
5,0.57685,0.5563
6,0.5638500000000001,0.43520000000000003
7,0.54725,0.50565
8,0.64335,0.6855
9,0.6747000000000001,0.70315
10,0.68105,0.7010500000000001
11,0.6879500000000001,0.7088
12,0.68925,0.7025
13,0.68955,0.6963
14,0.6930000000000001,0.7053
15,0.7290500000000001,0.7527
16,0.7373000000000001,0.7542
17,0.7416,0.7545000000000001
18,0.7432500000000001,0.7562
19,0.74405,0.7597
20,0.7473500000000001,0.75975
