Epoch,Train Accuracy,Validation Accuracy
1,0.5021,0.81745
2,0.6879000000000001,0.88315
3,0.73595,0.9039
4,0.7664500000000001,0.9214
5,0.78605,0.9247500000000001
6,0.7963,0.9345
7,0.8078000000000001,0.9378500000000001
8,0.8136,0.9428500000000001
9,0.8201,0.9439000000000001
10,0.8220500000000001,0.9447500000000001
11,0.8210000000000001,0.9458500000000001
12,0.82455,0.9457500000000001
13,0.82555,0.9446500000000001
14,0.8272,0.9455
15,0.8248500000000001,0.9457500000000001
16,0.83125,0.9468000000000001
17,0.8226,0.9448500000000001
18,0.82715,0.94625
19,0.8264,0.94635
20,0.82965,0.94545
