Epoch,Train Accuracy,Validation Accuracy
1,0.5158,0.8175
2,0.6898000000000001,0.88385
3,0.7431,0.9074000000000001
4,0.7678,0.9192
5,0.7814,0.9283
6,0.7993,0.93345
7,0.8047000000000001,0.9393
8,0.81825,0.94115
9,0.82115,0.94235
10,0.8230500000000001,0.9399000000000001
11,0.82565,0.9428000000000001
12,0.82635,0.94215
13,0.82665,0.94315
14,0.8253,0.9430000000000001
15,0.83135,0.9446
16,0.82515,0.9439500000000001
17,0.82815,0.9449500000000001
18,0.8265,0.9443
19,0.8283,0.9450500000000001
20,0.8290500000000001,0.9438000000000001
