Epoch,Train Accuracy,Validation Accuracy
1,0.4988,0.8197500000000001
2,0.6864,0.8849
3,0.7382000000000001,0.90795
4,0.7702,0.9246500000000001
5,0.7861,0.92805
6,0.7956500000000001,0.9306000000000001
7,0.79915,0.94045
8,0.8190500000000001,0.94045
9,0.8176,0.94125
10,0.81515,0.9436500000000001
11,0.82135,0.94235
12,0.8228500000000001,0.9441
13,0.8235,0.9433
14,0.8259000000000001,0.9449500000000001
15,0.8269500000000001,0.94415
16,0.82945,0.9438500000000001
17,0.8245,0.94565
18,0.8266,0.9445
19,0.82855,0.94435
20,0.82875,0.9438500000000001
21,0.82925,0.9446
22,0.8290000000000001,0.9438500000000001
23,0.8300000000000001,0.9445
24,0.83045,0.9454
25,0.8265,0.94435
26,0.8246,0.9445
27,0.8306,0.9460000000000001
28,0.8277,0.9447500000000001
29,0.82975,0.9437000000000001
30,0.82525,0.9444
31,0.8237500000000001,0.9450000000000001
32,0.82935,0.94425
33,0.8229500000000001,0.9443
34,0.8287,0.9429500000000001
35,0.8255,0.94435
36,0.82865,0.9447500000000001
37,0.8244,0.9446500000000001
38,0.82765,0.9449500000000001
39,0.8300000000000001,0.9446
40,0.8290000000000001,0.9444
