Epoch,Train Accuracy,Validation Accuracy
1,0.5044000000000001,0.8162
2,0.68625,0.8714500000000001
3,0.737,0.90575
4,0.7682,0.91695
5,0.78095,0.92745
6,0.7998500000000001,0.9369500000000001
7,0.8091,0.9368500000000001
8,0.8173,0.9417000000000001
9,0.8204,0.9415
10,0.82435,0.9421
11,0.8226,0.9434
12,0.8215,0.94325
13,0.8240500000000001,0.94455
14,0.82875,0.9440000000000001
15,0.8326,0.9465
16,0.82655,0.94435
17,0.8287,0.9447500000000001
18,0.83165,0.9458500000000001
19,0.8300500000000001,0.9452
20,0.8258500000000001,0.9457000000000001
21,0.8259000000000001,0.9454
22,0.82945,0.94525
23,0.8307,0.9448000000000001
24,0.82545,0.9455
25,0.8302,0.9468000000000001
26,0.82755,0.9443
27,0.8329000000000001,0.9459000000000001
28,0.8288000000000001,0.9444
29,0.8230000000000001,0.9454
30,0.8268500000000001,0.9445
31,0.82755,0.9439000000000001
32,0.8293,0.9439000000000001
33,0.8309500000000001,0.94565
34,0.8266,0.9438000000000001
35,0.82155,0.94445
36,0.8254,0.9453
37,0.8275,0.9456
38,0.82765,0.9457500000000001
39,0.82515,0.9448500000000001
40,0.8288000000000001,0.9453
