Epoch,Train Accuracy,Validation Accuracy
1,0.3759,0.56515
2,0.55015,0.7202000000000001
3,0.61755,0.7826000000000001
4,0.6505000000000001,0.72655
5,0.6815,0.83665
6,0.6988000000000001,0.8292
7,0.7138,0.8543000000000001
8,0.77185,0.8843500000000001
9,0.79015,0.8907
10,0.7935500000000001,0.896
11,0.80105,0.89615
12,0.8124,0.89895
13,0.8208500000000001,0.90195
14,0.8169000000000001,0.9038
15,0.8237,0.90425
16,0.8307,0.90485
17,0.8254,0.9056000000000001
18,0.8266,0.90625
19,0.8298000000000001,0.90605
20,0.83025,0.90585
