Epoch,Train Accuracy,Validation Accuracy
1,0.36835,0.5889
2,0.54935,0.71985
3,0.6155,0.7736500000000001
4,0.6624,0.7949
5,0.6806,0.8179500000000001
6,0.7071000000000001,0.84085
7,0.72345,0.83125
8,0.7744000000000001,0.8892
9,0.7955,0.8945000000000001
10,0.8037000000000001,0.8989
11,0.8130000000000001,0.9001
12,0.81735,0.9037000000000001
13,0.8248500000000001,0.9055000000000001
14,0.8248000000000001,0.9061
15,0.8340000000000001,0.9093
16,0.8340500000000001,0.9089
17,0.8372,0.9094000000000001
18,0.8372,0.9108
19,0.8340000000000001,0.91135
20,0.8340000000000001,0.911
