Epoch,Train Accuracy,Validation Accuracy
1,0.28695000000000004,0.5853
2,0.5001,0.7101500000000001
3,0.5789000000000001,0.76705
4,0.6206,0.80715
5,0.65215,0.8328
6,0.6718500000000001,0.85235
7,0.6937,0.86895
8,0.7109500000000001,0.8672500000000001
9,0.7057,0.8692500000000001
10,0.7054,0.8694000000000001
11,0.7129500000000001,0.8709
12,0.71975,0.8728
13,0.7191000000000001,0.87505
14,0.7121500000000001,0.8756
15,0.71735,0.88015
16,0.7215,0.875
17,0.71655,0.8781
18,0.71985,0.8772000000000001
19,0.7206,0.8773000000000001
20,0.71775,0.8733500000000001
