Epoch,Train Accuracy,Validation Accuracy
1,0.22785000000000002,0.4551
2,0.40555,0.6194000000000001
3,0.49155000000000004,0.6865
4,0.5504,0.7301000000000001
5,0.57365,0.7615000000000001
6,0.603,0.7868
7,0.62505,0.8007000000000001
8,0.6353,0.8048000000000001
9,0.6415500000000001,0.8056500000000001
10,0.64205,0.80215
11,0.6393,0.8089000000000001
12,0.6406000000000001,0.8093
13,0.6411,0.81205
14,0.64515,0.8137000000000001
15,0.6477,0.8157500000000001
16,0.64635,0.8119500000000001
17,0.6505500000000001,0.81625
18,0.6507000000000001,0.81325
19,0.6464500000000001,0.81465
20,0.64625,0.8127000000000001
