Epoch,Train Accuracy,Validation Accuracy
1,0.5011,0.81405
2,0.6893,0.8834500000000001
3,0.7404000000000001,0.9084000000000001
4,0.76795,0.9227500000000001
5,0.7834500000000001,0.9279000000000001
6,0.7986000000000001,0.9355
7,0.8036000000000001,0.9399500000000001
8,0.82535,0.94115
9,0.8241,0.9411
10,0.81925,0.9429500000000001
11,0.8249500000000001,0.9436
12,0.82865,0.9434
13,0.82865,0.9439500000000001
14,0.82835,0.9449000000000001
15,0.8285,0.9462
16,0.8302,0.94415
17,0.8279500000000001,0.9454
18,0.8301000000000001,0.9466
19,0.83025,0.94545
20,0.8341500000000001,0.9442
