Epoch,Train Accuracy,Validation Accuracy
1,0.5101,0.8203
2,0.6889000000000001,0.8798
3,0.74105,0.9066000000000001
4,0.77375,0.9175000000000001
5,0.78615,0.93145
6,0.8026500000000001,0.9373
7,0.8119000000000001,0.93755
8,0.8198500000000001,0.9416
9,0.8238500000000001,0.9430000000000001
10,0.8273,0.94335
11,0.82355,0.9439500000000001
12,0.8237,0.9442
13,0.83115,0.94455
14,0.8297,0.9466
15,0.8349000000000001,0.9462
16,0.8269000000000001,0.94525
17,0.83065,0.9458000000000001
18,0.8321000000000001,0.9461
19,0.83055,0.9454
20,0.8261000000000001,0.94615
