Epoch,Train Loss,Validation Loss
1,1.5792779994010926,1.1170313930511475
2,1.19867226934433,1.0948382766723632
3,1.352601109790802,1.6010267314910889
4,1.614571646118164,1.8176990951538086
5,1.8499302959442139,1.9567054109573365
6,2.0538869136810303,2.138952114677429
7,2.168599335861206,2.160674035644531
8,2.1972680431365967,2.178204262161255
9,2.200442721557617,2.189315364456177
10,2.2044051109313965,2.1898725219726565
11,2.208114409637451,2.2004304260253904
12,2.2121520698547363,2.1998227130889894
13,2.2155689262390137,2.228185619354248
14,2.220358686828613,2.2174599258422854
15,2.220919645690918,2.2034002563476562
16,2.220478649520874,2.2111417739868164
17,2.220915573501587,2.210046583175659
18,2.221668564605713,2.206875576400757
19,2.2221360977172853,2.21771618347168
20,2.2230102699279786,2.213005009460449
