Epoch,Train Accuracy,Validation Accuracy
1,0.46626666666666666,0.6540555555555556
2,0.5110111111111111,0.6679333333333334
3,0.5221111111111111,0.6691222222222223
4,0.5272111111111112,0.6776666666666668
5,0.5261333333333333,0.6804777777777778
6,0.5269222222222223,0.6749
7,0.5296666666666667,0.6791555555555556
8,0.5297222222222222,0.6828333333333334
9,0.5298111111111111,0.6852777777777778
10,0.5307000000000001,0.6820777777777778
11,0.5336111111111111,0.6878222222222222
12,0.5369444444444444,0.6886444444444445
13,0.5326222222222222,0.6847888888888889
14,0.5314222222222222,0.6868333333333334
15,0.5327888888888889,0.6811222222222223
16,0.5330333333333334,0.6821666666666667
17,0.5329555555555556,0.6836222222222222
18,0.5361444444444444,0.6843333333333333
19,0.5329555555555556,0.6793
20,0.5329333333333334,0.6828666666666667
