Epoch,Train Accuracy,Validation Accuracy
1,0.46671111111111113,0.6522555555555556
2,0.5139333333333334,0.6624777777777778
3,0.5221222222222223,0.6678333333333334
4,0.5266555555555555,0.6736666666666667
5,0.5254333333333333,0.6785666666666667
6,0.5256444444444445,0.6814333333333333
7,0.5306888888888889,0.6846111111111112
8,0.5300666666666667,0.6865222222222223
9,0.5340555555555556,0.6787444444444445
10,0.5296777777777778,0.6801222222222223
11,0.5309111111111111,0.681088888888889
12,0.5326111111111111,0.6842555555555556
13,0.5306777777777778,0.6820111111111111
14,0.5340111111111111,0.6847444444444445
15,0.5373,0.6831777777777778
16,0.5331444444444444,0.6846888888888889
17,0.5336666666666667,0.6862333333333334
18,0.5329555555555556,0.6866555555555556
19,0.5346888888888889,0.6817333333333334
20,0.5311555555555556,0.6858555555555556
