Epoch,Train Accuracy,Validation Accuracy
1,0.6006777777777778,0.8293333333333334
2,0.7131555555555555,0.861688888888889
3,0.7399333333333333,0.8770333333333333
4,0.7577666666666667,0.8836111111111111
5,0.7700666666666667,0.8915444444444445
6,0.780788888888889,0.8941888888888889
7,0.7896222222222222,0.8969666666666667
8,0.7972111111111112,0.9014555555555556
9,0.8002333333333334,0.9029555555555556
10,0.8039000000000001,0.9037000000000001
11,0.8032777777777779,0.9037222222222223
12,0.8065777777777778,0.9039777777777778
13,0.8072,0.9047555555555556
14,0.8093333333333333,0.9048
15,0.8085111111111112,0.9050888888888889
