Epoch,Train Accuracy,Validation Accuracy
1,0.22205555555555556,0.2682
2,0.26137777777777776,0.3184888888888889
3,0.31485555555555556,0.3632
4,0.35254444444444444,0.41986666666666667
5,0.3753222222222222,0.44731111111111116
6,0.3897111111111111,0.4729111111111111
7,0.4010666666666667,0.4575666666666667
8,0.4330888888888889,0.5214333333333333
9,0.43954444444444446,0.5275222222222222
10,0.4434777777777778,0.5291777777777779
11,0.44683333333333336,0.5356222222222222
12,0.4508888888888889,0.5304111111111112
13,0.45414444444444446,0.5342777777777779
14,0.45614444444444446,0.5385222222222222
15,0.45980000000000004,0.5404888888888889
16,0.4604444444444445,0.5428777777777778
17,0.4631777777777778,0.5423
18,0.4618333333333334,0.5457777777777778
19,0.4629111111111111,0.5464222222222223
20,0.4672,0.5438888888888889
