Epoch,Train Loss,Validation Loss
1,2.0585353664186266,1.9582977431403266
2,1.9873789408789742,2.073914762073093
3,1.9496311194525824,1.8857667051739162
4,1.93850279873742,1.8423002521091036
5,1.922708807267083,1.858266176668803
6,1.9122303301069472,1.8160106017006767
7,1.903905287085639,1.8017104913075765
8,1.858829590479533,1.7330089310540093
9,1.850100317509969,1.7302699359046088
10,1.8438844370312162,1.7242216288248697
11,1.8398515277438694,1.7190991314358182
12,1.8381294285668268,1.7188265643649632
13,1.8342915756225586,1.7202013574388293
14,1.831570278930664,1.7027465179655288
15,1.8223481684790717,1.697308595530192
16,1.8219635011461046,1.6977308123694526
17,1.8172170237647163,1.69543054300944
18,1.8162933493296305,1.697263492012024
19,1.8159715530395508,1.6943773519939846
20,1.816313168780009,1.6955189412222968
