Epoch,Train Accuracy,Validation Accuracy
1,0.4466333333333334,0.5442111111111111
2,0.5696222222222223,0.5984
3,0.6245444444444445,0.6475444444444445
4,0.6562777777777778,0.6684888888888889
5,0.6834666666666667,0.681
6,0.7049111111111112,0.6891333333333334
7,0.7231888888888889,0.6983666666666667
8,0.7733777777777778,0.7308888888888889
9,0.7902111111111112,0.7311222222222222
10,0.7985333333333333,0.732488888888889
11,0.8047444444444445,0.7333222222222222
12,0.8134444444444445,0.7321222222222222
13,0.8204444444444445,0.7318333333333333
14,0.8286,0.7334333333333334
15,0.8424777777777778,0.7347555555555556
16,0.8450444444444445,0.7348222222222223
17,0.8467111111111112,0.734688888888889
18,0.8479,0.7332666666666667
19,0.8493444444444445,0.7335
20,0.8527222222222223,0.7348111111111112
