Epoch,Train Accuracy,Validation Accuracy
1,0.3081777777777778,0.4290555555555556
2,0.39463333333333334,0.4725666666666667
3,0.43192222222222226,0.5267444444444445
4,0.46255555555555555,0.5500111111111111
5,0.4827555555555556,0.5498777777777778
6,0.5017222222222223,0.5797
7,0.5169111111111111,0.6026444444444444
8,0.5517222222222222,0.6626000000000001
9,0.5646555555555556,0.6584666666666666
10,0.5700000000000001,0.6670444444444444
11,0.5741555555555555,0.6727666666666667
12,0.5774111111111111,0.6766222222222222
13,0.5800777777777778,0.6808888888888889
14,0.5816222222222223,0.6797555555555556
15,0.5890777777777778,0.6873555555555556
16,0.5931333333333334,0.6892222222222223
17,0.5920777777777778,0.6897
18,0.5926111111111111,0.6897777777777778
19,0.5945444444444444,0.6894333333333333
20,0.5933666666666667,0.6905777777777778
21,0.5950777777777778,0.6901222222222223
22,0.5955222222222223,0.6921
23,0.5945777777777778,0.6919555555555555
24,0.5957,0.6914
25,0.5947666666666667,0.6915111111111112
