Epoch,Train Loss,Validation Loss
1,2.180741423246596,2.0974351314968533
2,2.1154972269270154,1.9783978653589884
3,2.06581082734002,1.8736154610527886
4,2.009211373986138,1.762012532234192
5,1.954960523944431,1.6756843117819893
6,1.8812510123358832,1.5998376722335816
7,1.8337349382188586,1.6189039273367987
8,1.684248124631246,1.3865785963058472
9,1.6473178279240925,1.3587464908599853
10,1.6331000910017226,1.331793937004937
11,1.6139867900848388,1.3329161493301391
12,1.5994324123806423,1.283412772072686
13,1.587843951034546,1.2780692035886976
14,1.5691195212470161,1.2574880075030856
15,1.5387703485700819,1.223504265446133
16,1.5313349340862699,1.218840003967285
17,1.5253652753829956,1.2157750811258952
18,1.5244632107840643,1.2069223479376898
19,1.5168198158476087,1.1995962197833592
20,1.5139792882707384,1.2011759634865655
