Epoch,Train Accuracy,Validation Accuracy
1,0.23374444444444445,0.3403555555555556
2,0.2977666666666667,0.37870000000000004
3,0.3330222222222222,0.4024777777777778
4,0.3584111111111111,0.4325666666666667
5,0.3789666666666667,0.4644666666666667
6,0.39601111111111115,0.4686777777777778
7,0.4094777777777778,0.4888555555555556
8,0.43233333333333335,0.5192333333333333
9,0.4350666666666667,0.5170333333333333
10,0.43514444444444444,0.5273666666666667
11,0.4420777777777778,0.5272666666666667
12,0.4419666666666667,0.5287666666666667
13,0.4451333333333334,0.5307111111111111
14,0.4481777777777778,0.5346111111111111
15,0.4523444444444445,0.5358777777777778
16,0.4501555555555556,0.5366777777777778
17,0.45053333333333334,0.5385444444444445
18,0.4512888888888889,0.5391888888888889
19,0.4527555555555556,0.5372
20,0.4513666666666667,0.5384555555555556
