Epoch,Train Accuracy,Validation Accuracy
1,0.44523333333333337,0.5379444444444444
2,0.5636444444444445,0.5953222222222222
3,0.6159,0.6119333333333333
4,0.6464666666666667,0.6485555555555556
5,0.6718444444444445,0.6689111111111111
6,0.6914555555555556,0.6810333333333334
7,0.7078,0.6851222222222223
8,0.7510555555555556,0.7198
9,0.763788888888889,0.7248
10,0.7679888888888889,0.7245
11,0.7728111111111111,0.7270777777777778
12,0.7773888888888889,0.7250666666666667
13,0.7817555555555556,0.7261000000000001
14,0.7857555555555555,0.7264111111111111
15,0.7941666666666667,0.7292333333333334
16,0.7973777777777779,0.7304222222222223
17,0.7972444444444445,0.730488888888889
18,0.7973,0.7294777777777778
19,0.7981111111111111,0.7287555555555556
20,0.7976888888888889,0.729488888888889
