Epoch,Train Accuracy,Validation Accuracy
1,0.10551111111111111,0.1
2,0.09901111111111112,0.1
3,0.09976666666666667,0.1
4,0.098,0.1
5,0.0994,0.1
6,0.0988,0.1
7,0.09772222222222222,0.1
8,0.09965555555555557,0.1
9,0.09941111111111112,0.1
10,0.10005555555555556,0.1
11,0.09835555555555556,0.1
12,0.09817777777777778,0.1
13,0.09866666666666667,0.1
14,0.0989,0.1
15,0.1,0.1
16,0.09906666666666668,0.1
17,0.09985555555555556,0.1
18,0.09907777777777778,0.1
19,0.09870000000000001,0.1
20,0.09926666666666667,0.1
