Epoch,Train Loss,Validation Loss
1,2.4311417765723333,2.302980152935452
2,2.3031078389909534,2.302648210144043
3,2.3028347689734563,2.30286629163954
4,2.302816025797526,2.302627316072252
5,2.302739258363512,2.302740394846598
6,2.3027893369462755,2.302618484624227
7,2.3027693935818143,2.3026725041707357
8,2.30266294992235,2.3026171815660263
9,2.3026284300910103,2.302596528837416
10,2.3026145398457847,2.302588488515218
11,2.302612392510308,2.3025867544386123
12,2.3026094668070476,2.3025858099195693
13,2.302608043077257,2.302585652838813
14,2.3026092672136094,2.302585638003879
15,2.30258837161594,2.3025858272128636
16,2.3025882888793947,2.302585753885905
17,2.3025880823347302,2.302585532675849
18,2.302588011762831,2.3025855839623346
19,2.3025880715264213,2.3025853039635553
20,2.3025880830976697,2.3025856908162434
