Epoch,Train Accuracy,Validation Accuracy
1,0.10841111111111111,0.10624444444444445
2,0.1967,0.2621555555555556
3,0.3019555555555556,0.2843111111111111
4,0.37303333333333333,0.42128888888888893
5,0.4381111111111111,0.48486666666666667
6,0.4911666666666667,0.5230222222222223
7,0.5227444444444445,0.546988888888889
8,0.5915111111111111,0.6115111111111111
9,0.6102222222222222,0.6238222222222223
10,0.6173444444444445,0.6278111111111111
11,0.6244555555555555,0.6345555555555555
12,0.6324777777777778,0.6416555555555555
13,0.6384777777777778,0.6393
14,0.6436222222222222,0.6470666666666667
15,0.6556888888888889,0.652788888888889
16,0.6608555555555556,0.6538
17,0.6587555555555555,0.6546666666666667
18,0.6611333333333334,0.6557777777777778
19,0.6599222222222223,0.6551666666666667
20,0.6625,0.6567000000000001
