Epoch,Train Loss,Validation Loss
1,2.4704687722100154,2.2898305244869657
2,2.017628039211697,1.823035576883952
3,1.775747817378574,1.7673078807406954
4,1.5826661318884956,1.477403809123569
5,1.4598558524661593,1.3905388843960231
6,1.3629949582629735,1.3180392363654243
7,1.3050117143630982,1.2487843818452624
8,1.1213569201575386,1.0542629427803887
9,1.0772630282931857,1.029483706686232
10,1.0563368286450705,1.0181242415428162
11,1.0349571748097737,0.9983734664599101
12,1.019925183720059,0.9853344953536988
13,1.0054233196046618,0.989165804693434
14,0.9916112255944146,0.9764244954744975
15,0.95782454340193,0.9549294653680589
16,0.9479708763546414,0.9538909918467203
17,0.9506070897950066,0.951167433198293
18,0.9411861549377442,0.9479956032541063
19,0.9422343177159628,0.9486395142873129
20,0.9384148544311524,0.9444251625590854
