Epoch,Train Accuracy,Validation Accuracy
1,0.1685111111111111,0.1978777777777778
2,0.20716666666666667,0.21206666666666668
3,0.22932222222222223,0.23662222222222223
4,0.27590000000000003,0.29004444444444444
5,0.3111555555555556,0.2972666666666667
6,0.3235222222222222,0.3030888888888889
7,0.3291,0.34311111111111114
8,0.43191111111111113,0.49992222222222227
9,0.4978666666666667,0.5350222222222223
10,0.5299555555555556,0.5510111111111111
11,0.5539222222222222,0.5246777777777778
12,0.5707888888888889,0.5700111111111111
13,0.5836111111111112,0.5851222222222222
14,0.6001888888888889,0.5706444444444445
15,0.6680555555555556,0.6913666666666667
16,0.6873444444444444,0.7061666666666667
17,0.6987222222222222,0.7098
18,0.7078333333333333,0.7173666666666667
19,0.7139444444444445,0.7206444444444445
20,0.7200555555555556,0.7242444444444445
