Epoch,Train Accuracy,Validation Accuracy
1,0.16076666666666667,0.19592222222222222
2,0.26355555555555554,0.2799666666666667
3,0.31885555555555556,0.321
4,0.3390222222222222,0.2924555555555556
5,0.3496777777777778,0.32745555555555556
6,0.3610777777777778,0.37546666666666667
7,0.3712444444444445,0.39555555555555555
8,0.4983222222222222,0.5403111111111112
9,0.5477333333333334,0.5672555555555556
10,0.5718777777777778,0.5925333333333334
11,0.5949777777777778,0.5800555555555555
12,0.6120444444444445,0.6023888888888889
13,0.6314555555555555,0.6308777777777778
14,0.6482,0.5664555555555556
15,0.7338,0.7177555555555556
16,0.7602222222222222,0.7247
17,0.7788666666666667,0.723388888888889
18,0.7954333333333333,0.7278222222222223
19,0.8099444444444445,0.7196444444444445
20,0.8230444444444445,0.7214222222222223
