Epoch,Train Accuracy,Validation Accuracy
1,0.43564444444444445,0.5417444444444445
2,0.5823555555555556,0.6295888888888889
3,0.643788888888889,0.6507555555555555
4,0.6815555555555556,0.6859111111111111
5,0.7122555555555556,0.6934
6,0.7354222222222223,0.7099222222222222
7,0.7558444444444444,0.7247666666666667
8,0.8240555555555555,0.7616
9,0.8454333333333334,0.7613888888888889
10,0.8578111111111112,0.7632333333333333
11,0.870788888888889,0.7620777777777779
12,0.8843333333333334,0.7602111111111112
13,0.8973777777777778,0.7605888888888889
14,0.9076777777777778,0.7566
15,0.9312888888888889,0.7598
16,0.9367222222222222,0.7594444444444445
17,0.938988888888889,0.7592111111111112
18,0.9431555555555556,0.7566666666666667
19,0.9457333333333334,0.7573888888888889
20,0.9481,0.7554111111111111
