Epoch,Train Accuracy,Validation Accuracy
1,0.3660555555555556,0.4923444444444445
2,0.5160444444444444,0.5616666666666666
3,0.5768888888888889,0.6009666666666666
4,0.6175555555555556,0.6235555555555556
5,0.6502333333333333,0.6364000000000001
6,0.6766555555555556,0.6436555555555555
7,0.6970666666666667,0.6434555555555556
8,0.7591555555555556,0.6836666666666666
9,0.7780777777777779,0.6841333333333334
10,0.7885333333333334,0.6828777777777778
11,0.8015777777777778,0.6826222222222222
12,0.8102444444444444,0.6811222222222223
13,0.8212666666666667,0.6796888888888889
14,0.8302,0.6765111111111112
15,0.8444666666666667,0.6791666666666667
16,0.8482444444444445,0.6795555555555556
17,0.8504777777777778,0.6792888888888889
18,0.8507888888888889,0.6791555555555556
19,0.8517111111111112,0.6785555555555556
20,0.8545222222222223,0.6787666666666667
