Epoch,Train Accuracy,Validation Accuracy
1,0.3942666666666667,0.4804666666666667
2,0.5485111111111112,0.5931777777777778
3,0.6031888888888889,0.6297111111111111
4,0.6498333333333334,0.6530888888888889
5,0.6846666666666666,0.6974666666666667
6,0.7108888888888889,0.7115
7,0.735588888888889,0.720588888888889
8,0.7875777777777778,0.7633444444444445
9,0.7999222222222223,0.7662666666666667
10,0.8083111111111112,0.7700666666666667
11,0.8139333333333334,0.7702
12,0.8187000000000001,0.7728444444444444
13,0.8241111111111111,0.7728777777777778
14,0.8301111111111111,0.7746000000000001
15,0.8390888888888889,0.7764333333333334
16,0.840388888888889,0.7763333333333333
17,0.8398,0.7767333333333334
18,0.8428222222222223,0.7769666666666667
19,0.8437444444444445,0.7766111111111111
20,0.8410222222222222,0.7761777777777779
