Epoch,Train Accuracy,Validation Accuracy
1,0.3184666666666667,0.38495555555555555
2,0.4541,0.5162666666666667
3,0.5285888888888889,0.5623333333333334
4,0.5699333333333334,0.5812
5,0.5947111111111112,0.5934777777777778
6,0.6113444444444445,0.6243444444444445
7,0.6245222222222222,0.6297
8,0.6799000000000001,0.6895666666666667
9,0.6936555555555556,0.6982111111111111
10,0.7006555555555556,0.7018222222222222
11,0.7088888888888889,0.7093555555555556
12,0.7116888888888889,0.7089222222222222
13,0.7157666666666667,0.7075777777777779
14,0.7203555555555556,0.7149
15,0.7316111111111111,0.7171777777777778
16,0.7360666666666666,0.7168
17,0.7346111111111111,0.7183777777777778
18,0.7340444444444445,0.7183333333333334
19,0.736688888888889,0.7183444444444445
20,0.7365777777777778,0.7194222222222223
