Epoch,Train Loss,Validation Loss
1,1.919205908923679,1.8336765444437664
2,1.7224423269059923,1.723825866868761
3,1.6453084752400715,1.6394958348380195
4,1.6111310282177396,1.5378842880672878
5,1.5876757408989801,1.6063039519839817
6,1.559819617038303,1.5185482226689657
7,1.5326142208311293,1.486928593190511
8,1.4455413494533962,1.379960522227817
9,1.4163306098302206,1.3618342662175495
10,1.4060577503840128,1.3514480109744602
11,1.397919596057468,1.3536772894541422
12,1.3917478807449342,1.33923271162245
13,1.3801100305133396,1.3378574218114216
14,1.370951466009352,1.3327388348261515
15,1.355872505929735,1.3159362960179646
16,1.3515192468855115,1.3093666079203288
17,1.3508638701121012,1.3119556681527031
18,1.3488057622273764,1.3089300824271308
19,1.342593135960897,1.308471907488505
20,1.3474713542938233,1.3021947542190553
