Epoch,Train Accuracy,Validation Accuracy
1,0.4068666666666667,0.4100888888888889
2,0.4723555555555556,0.45
3,0.48634444444444447,0.3539666666666667
4,0.49472222222222223,0.4883777777777778
5,0.4965555555555556,0.4343222222222222
6,0.5019111111111111,0.4648888888888889
7,0.5021888888888889,0.4534
8,0.6179333333333333,0.6487555555555556
9,0.6509,0.6385444444444445
10,0.6665,0.6706777777777778
11,0.6806444444444445,0.6534555555555556
12,0.6940333333333334,0.6728444444444445
13,0.7055,0.6783222222222223
14,0.7146888888888889,0.6825333333333333
15,0.8046666666666668,0.7573888888888889
16,0.8370444444444445,0.7591
17,0.8620888888888889,0.7585666666666667
18,0.8849333333333333,0.7564111111111111
19,0.9099,0.7498444444444445
20,0.9254111111111112,0.7486555555555556
