Epoch,Train Accuracy,Validation Accuracy
1,0.37620000000000003,0.41986666666666667
2,0.42912222222222224,0.4135777777777778
3,0.43973333333333336,0.43851111111111113
4,0.44374444444444444,0.4323555555555556
5,0.44585555555555556,0.3867555555555556
6,0.4445555555555556,0.46703333333333336
7,0.44472222222222224,0.4104888888888889
8,0.5446777777777778,0.5784777777777778
9,0.5779555555555556,0.5993
10,0.5924,0.5995222222222223
11,0.6120555555555556,0.6264333333333334
12,0.6269333333333333,0.6416222222222222
13,0.6414777777777778,0.6282666666666668
14,0.6526777777777778,0.6336555555555556
15,0.7319666666666667,0.7177444444444445
16,0.7615888888888889,0.7183555555555556
17,0.7821444444444445,0.7214222222222223
18,0.7987222222222222,0.7189555555555556
19,0.821388888888889,0.7096111111111112
20,0.8355666666666667,0.7130555555555556
