Epoch,Train Accuracy,Validation Accuracy
1,0.3799444444444445,0.44833333333333336
2,0.4438777777777778,0.45863333333333334
3,0.45640000000000003,0.3153
4,0.4639111111111111,0.4055777777777778
5,0.47126666666666667,0.22096666666666667
6,0.47194444444444444,0.2363111111111111
7,0.4728333333333334,0.3981888888888889
8,0.5751666666666667,0.6143111111111111
9,0.6090666666666666,0.6285777777777778
10,0.625588888888889,0.6320888888888889
11,0.6396555555555555,0.6601555555555556
12,0.6511666666666667,0.637788888888889
13,0.6605222222222222,0.6732666666666667
14,0.6707111111111111,0.6621555555555556
15,0.7353666666666667,0.7527
16,0.7514888888888889,0.7565222222222222
17,0.7604666666666667,0.7609111111111111
18,0.7681555555555556,0.7664777777777778
19,0.7759666666666667,0.7633888888888889
20,0.7816333333333334,0.769888888888889
