Epoch,Train Accuracy,Validation Accuracy
1,0.41884444444444446,0.32433333333333336
2,0.47700000000000004,0.43171111111111116
3,0.4884555555555556,0.4815666666666667
4,0.4963444444444445,0.3995666666666667
5,0.5015666666666667,0.4811
6,0.5063222222222222,0.47540000000000004
7,0.5075555555555555,0.3981
8,0.6215555555555556,0.6602222222222223
9,0.6554222222222222,0.6355111111111111
10,0.6715555555555556,0.6654666666666667
11,0.6851777777777778,0.6770666666666667
12,0.6989444444444445,0.6700444444444444
13,0.7108,0.6854333333333333
14,0.7216888888888889,0.6911666666666667
15,0.8099777777777778,0.7627111111111111
16,0.8426777777777779,0.7658555555555556
17,0.8662333333333334,0.7624777777777778
18,0.8890777777777779,0.7607555555555556
19,0.9127666666666667,0.7510111111111112
20,0.9307000000000001,0.7523222222222222
