Epoch,Train Accuracy,Validation Accuracy
1,0.4159666666666667,0.3430444444444445
2,0.4807777777777778,0.5012666666666666
3,0.4909555555555556,0.4468888888888889
4,0.4987777777777778,0.43535555555555555
5,0.5030444444444445,0.42946666666666666
6,0.5092,0.4476666666666667
7,0.5124111111111112,0.48975555555555556
8,0.6221555555555556,0.6349222222222223
9,0.6566000000000001,0.6605333333333334
10,0.6729444444444445,0.6555333333333334
11,0.6874333333333333,0.6760111111111111
12,0.7036888888888889,0.6821555555555556
13,0.7141444444444445,0.6834111111111112
14,0.7240888888888889,0.6977333333333333
15,0.8133777777777779,0.7663666666666668
16,0.8469444444444445,0.7673
17,0.8706222222222223,0.7672888888888889
18,0.8926222222222223,0.7599
19,0.9177666666666667,0.7573333333333334
20,0.9340111111111111,0.7527222222222223
