Epoch,Train Accuracy,Validation Accuracy
1,0.4796666666666667,0.5575111111111112
2,0.6178,0.6335444444444445
3,0.6724,0.6692666666666667
4,0.7035111111111112,0.6858333333333334
5,0.7322666666666667,0.7129333333333334
6,0.7561666666666667,0.732688888888889
7,0.772888888888889,0.7277777777777779
8,0.8339000000000001,0.769
9,0.8535444444444444,0.7697777777777778
10,0.8636222222222223,0.77
11,0.8724222222222222,0.7696444444444445
12,0.8828777777777779,0.7683555555555556
13,0.8918444444444444,0.7684666666666667
14,0.9003555555555556,0.7663777777777778
15,0.9166333333333334,0.7690666666666667
16,0.9192333333333333,0.7691888888888889
17,0.9208444444444445,0.7684888888888889
18,0.9226888888888889,0.7673333333333334
19,0.9246444444444445,0.7676777777777778
20,0.9267333333333334,0.7677777777777778
