Epoch,Train Accuracy,Validation Accuracy
1,0.30491111111111113,0.37653333333333333
2,0.45366666666666666,0.49814444444444445
3,0.5227555555555555,0.5334666666666666
4,0.5684555555555556,0.5768111111111112
5,0.5984666666666667,0.5999444444444445
6,0.628,0.6268666666666667
7,0.6502222222222223,0.6358666666666667
8,0.6876111111111112,0.6715555555555556
9,0.6963222222222223,0.6738111111111111
10,0.7008777777777778,0.6734777777777778
11,0.7058444444444445,0.6758777777777778
12,0.7100555555555556,0.6772777777777778
13,0.7147111111111112,0.6775777777777778
14,0.7155333333333334,0.6762444444444444
15,0.7238444444444445,0.6807333333333334
16,0.7231777777777778,0.6810333333333334
17,0.7245,0.6790555555555556
18,0.7248888888888889,0.6798555555555555
19,0.7256777777777779,0.6816555555555556
20,0.7244666666666667,0.6812888888888889
