Epoch,Train Accuracy,Validation Accuracy
1,0.47163333333333335,0.5789444444444445
2,0.6041888888888889,0.6225555555555556
3,0.6515555555555556,0.6420555555555556
4,0.6793,0.6910111111111111
5,0.6949444444444445,0.6949111111111111
6,0.7110555555555556,0.7071555555555555
7,0.7227,0.7048666666666668
8,0.7948222222222222,0.7829666666666667
9,0.8184111111111112,0.7890666666666667
10,0.8326777777777778,0.7922333333333333
11,0.8452666666666667,0.7939444444444445
12,0.8571555555555556,0.7962666666666667
13,0.8671333333333334,0.7936555555555556
14,0.8764000000000001,0.7927777777777778
15,0.911988888888889,0.8050333333333334
16,0.9222222222222223,0.8050111111111111
17,0.9275777777777778,0.8041111111111111
18,0.9317777777777778,0.8028555555555555
19,0.9367111111111112,0.8043111111111112
20,0.9406111111111112,0.8036777777777778
