Epoch,Train Accuracy,Validation Accuracy
1,0.3412,0.33676666666666666
2,0.3351,0.3261888888888889
3,0.2882,0.25573333333333337
4,0.25545555555555555,0.25552222222222226
5,0.25591111111111114,0.25493333333333335
6,0.25373333333333337,0.2659444444444445
7,0.25403333333333333,0.2557888888888889
8,0.2695222222222222,0.27126666666666666
9,0.27135555555555557,0.2748666666666667
10,0.2723777777777778,0.2732111111111111
11,0.2723,0.27611111111111114
12,0.2732777777777778,0.27843333333333337
13,0.2736,0.26935555555555557
14,0.27501111111111115,0.27266666666666667
15,0.27915555555555555,0.2806666666666667
16,0.2793777777777778,0.2814111111111111
17,0.2806444444444445,0.2799111111111111
18,0.28093333333333337,0.28204444444444443
19,0.2811888888888889,0.2824888888888889
20,0.28152222222222223,0.28134444444444445
