Epoch,Train Loss,Validation Loss
1,1.7889922245873344,1.8638796581056383
2,1.911507468202379,1.9620747784720527
3,1.992657937282986,2.0448433941735162
4,2.0341104390674167,2.0553804227193195
5,2.041752361339993,2.0843646951887345
6,2.045167781660292,2.0514558035108776
7,2.044388145022922,2.063478964953952
8,2.0120002482308283,1.974977392578125
9,1.9883496306313408,1.968290317747328
10,1.9731155276404486,1.9663306133694118
11,1.9635816320207384,1.9442933873494466
12,1.9556800045013427,1.9183539379967585
13,1.9494045768737793,1.91070560031467
14,1.944965676519606,1.9475541060129802
15,1.9272270655737982,1.9079091839048599
16,1.923909770880805,1.9047739247004192
17,1.9206701881832546,1.9043859400431316
18,1.9171510745154487,1.9012383978949652
19,1.9157127912097507,1.9083302392111885
20,1.9139640951156616,1.8977367419772677
