Epoch,Train Accuracy,Validation Accuracy
1,0.18511111111111112,0.21174444444444446
2,0.19231111111111113,0.22014444444444445
3,0.19546666666666668,0.22940000000000002
4,0.20246666666666668,0.2354
5,0.20465555555555556,0.24133333333333334
6,0.20845555555555556,0.2192
7,0.20653333333333335,0.24076666666666668
8,0.22962222222222223,0.2642777777777778
9,0.23071111111111112,0.26683333333333337
10,0.2304888888888889,0.2550555555555556
11,0.23132222222222223,0.26662222222222226
12,0.232,0.27692222222222224
13,0.23234444444444446,0.2681777777777778
14,0.2343,0.2719111111111111
15,0.24765555555555557,0.27863333333333334
16,0.2484777777777778,0.2737111111111111
17,0.2490888888888889,0.2778777777777778
18,0.2501777777777778,0.2837777777777778
19,0.25024444444444444,0.2818
20,0.25003333333333333,0.28744444444444445
