Epoch,Train Accuracy,Validation Accuracy
1,0.24582222222222225,0.24495555555555557
2,0.2555888888888889,0.2725666666666667
3,0.2633888888888889,0.25077777777777777
4,0.26363333333333333,0.25283333333333335
5,0.2661,0.2755777777777778
6,0.2685222222222222,0.24330000000000002
7,0.2653111111111111,0.2854666666666667
8,0.3002222222222222,0.3112888888888889
9,0.30346666666666666,0.2954333333333333
10,0.30535555555555555,0.3072888888888889
11,0.3098,0.3186555555555556
12,0.31753333333333333,0.3256888888888889
13,0.31793333333333335,0.32701111111111114
14,0.3212888888888889,0.32824444444444445
15,0.3406666666666667,0.35076666666666667
16,0.34563333333333335,0.3506666666666667
17,0.34595555555555557,0.35133333333333333
18,0.3458333333333333,0.3478333333333333
19,0.34623333333333334,0.3491777777777778
20,0.3471222222222222,0.3539
