Epoch,Train Accuracy,Validation Accuracy
1,0.24591111111111114,0.2569888888888889
2,0.2526111111111111,0.2658666666666667
3,0.2594,0.2607777777777778
4,0.26395555555555555,0.25945555555555555
5,0.2635222222222222,0.2743111111111111
6,0.26363333333333333,0.2432888888888889
7,0.26401111111111114,0.2607
8,0.3018222222222222,0.3086111111111111
9,0.3051888888888889,0.3098222222222222
10,0.30612222222222224,0.31106666666666666
11,0.3078777777777778,0.3179222222222222
12,0.30742222222222226,0.3098777777777778
13,0.3082777777777778,0.3083666666666667
14,0.3093666666666667,0.3155
15,0.32595555555555555,0.33314444444444447
16,0.32772222222222225,0.33393333333333336
17,0.33033333333333337,0.32992222222222223
18,0.33030000000000004,0.3293666666666667
19,0.32993333333333336,0.3300222222222222
20,0.3328888888888889,0.33237777777777777
