Epoch,Train Loss,Validation Loss
1,2.0055994995541044,1.9259870767381455
2,1.9701623102611965,1.9497622832404242
3,1.9529030297173393,1.9402045049031575
4,1.9411091016769408,1.9625411785973443
5,1.9439577020433214,1.9019070114559598
6,1.9411455823262533,1.9662160306294758
7,1.940895868894789,1.947459608523051
8,1.8518968610763549,1.8452631475660537
9,1.8484786305745442,1.8422633285098606
10,1.8436838122473822,1.8314022229088678
11,1.8456823616451687,1.821978859032525
12,1.842852893257141,1.8452674991607667
13,1.8430491095013088,1.8519376804563734
14,1.8397704845428466,1.8352870099173653
15,1.7975893379847208,1.7822707257588704
16,1.7902902904510498,1.7718495977401734
17,1.7875123304578993,1.7857004999796549
18,1.783569049580892,1.780754618941413
19,1.7832213183297052,1.7836175087187025
20,1.7787130601882934,1.7736505302853054
