Epoch,Train Accuracy,Validation Accuracy
1,0.25070000000000003,0.24896666666666667
2,0.2644111111111111,0.2861
3,0.2735444444444445,0.26914444444444446
4,0.27444444444444444,0.2598666666666667
5,0.27592222222222224,0.2850666666666667
6,0.27626666666666666,0.2659444444444445
7,0.27613333333333334,0.2906444444444445
8,0.31885555555555556,0.3284888888888889
9,0.3230222222222222,0.32466666666666666
10,0.3271,0.32374444444444445
11,0.32680000000000003,0.32963333333333333
12,0.3319444444444445,0.3404666666666667
13,0.3362111111111111,0.3411222222222222
14,0.3388111111111111,0.3485777777777778
15,0.3666666666666667,0.3716555555555556
16,0.3701888888888889,0.3727888888888889
17,0.37293333333333334,0.37325555555555556
18,0.3733888888888889,0.37092222222222226
19,0.3738,0.37506666666666666
20,0.3761777777777778,0.37801111111111113
