Epoch,Train Accuracy,Validation Accuracy
1,0.2969888888888889,0.3561444444444445
2,0.38206666666666667,0.38695555555555555
3,0.4199666666666667,0.43273333333333336
4,0.4456888888888889,0.4545222222222222
5,0.4645,0.4568666666666667
6,0.48090000000000005,0.48128888888888893
7,0.4955555555555556,0.48893333333333333
8,0.5382666666666667,0.5319777777777778
9,0.5485111111111112,0.5356333333333334
10,0.5544222222222223,0.5423888888888889
11,0.5589111111111111,0.5431
12,0.5634222222222223,0.5464333333333333
13,0.5655777777777778,0.5489555555555555
14,0.5694666666666667,0.5523222222222223
15,0.5834555555555556,0.5600444444444445
16,0.5858666666666666,0.5604333333333333
17,0.5874,0.5607666666666667
18,0.5869555555555556,0.5608666666666667
19,0.5877333333333333,0.562188888888889
20,0.5893333333333334,0.5618000000000001
