Epoch,Train Loss,Validation Loss
1,1.8833475009918212,1.745086266263326
2,1.6727347916285198,1.6632407670974731
3,1.5718320459577773,1.525460150252448
4,1.4968805413564046,1.476832185067071
5,1.443734940316942,1.4656897546344334
6,1.4002898301654392,1.4002699102401734
7,1.3657153848224215,1.384305013232761
8,1.2492584118525187,1.2713246597078112
9,1.2245702885097927,1.2643722236421373
10,1.2112118111928305,1.248104413816664
11,1.1985731849988301,1.2432437863455879
12,1.1886916640175713,1.236857920244005
13,1.178698275672065,1.2303531782256232
14,1.168973656908671,1.2210018770005968
15,1.1347297425164116,1.2025889347924126
16,1.1289235716289945,1.199815586068895
17,1.125888168144226,1.2001605199707879
18,1.1248960840013291,1.1991147873984442
19,1.1232900213029648,1.1973637415673997
20,1.1192992085986668,1.1958801414489746
